﻿date,code,name,judgment,category,target_price,stock_price,upside_pct,asai_scan_score,file_path,notes,fv,current_price,upside,asai_score,note,company,score,tp_base,tp_bull,tp_bear,upside_base,md_file,docx_file,memo
2026-04-28,9104,商船三井,STRONG BUY,海運（VLCC・LNG・ドライバルク・不動産）×PBR0.88倍×REIT化NAV顕在化×Elliott介入,8200,5824,40.8,+96,outputs/fukai/9104_商船三井_DeepResearch_20260428.md,PBR0.88倍×ダイビル含み益6000億円未反映×REIT化・再上場でNAV¥9500超→PBR1.0倍回帰+63%。ホルムズ封鎖でVLCC TCE $467000/日（史上最高）。LNG長期TC（Cameron・GAIL・INPEX）で安定CF確保。4/30決算発表＋REIT関連コメントが本玉トリガー。SL¥4800,8200,5824,40.8,+96,PBR0.88倍×REIT化NAV顕在化×ホルムズVLCC爆益×LNG長期CF,商船三井,+96,8200,9500,4800,40.8,outputs/fukai/9104_商船三井_DeepResearch_20260428.md,,打診30%可（本日）。SL¥4800。本玉条件:4/30決算FY2026ガイダンス純利益¥2000億以上維持+REIT・ダイビル関連コメント確認後フルサイズ
2026-04-28,4441,トビラシステムズ,WATCH,迷惑情報フィルタリング（キャリア向け）×ソリューション事業DX急成長×中計2028売上60億目標,1700,1360,25.0,+52,outputs/fukai/4441_トビラシステムズ_DeepResearch_20260428.md,Solutions事業Q1+63.2%（直販のみで達成）×迷惑情報DB年50億件判定（後発参入困難）×キャリア3社1年自動更新「継続前提」。OPM回帰FY2028最速（FY2027追加投資の可能性あり）。BUY格上げ条件：Q2 Solutions+50%維持+代理店チャネル発表。SL¥1100,1700,1360,25.0,+52,Solutions+63%×DB独占×FY2028 OPM28%回帰,トビラシステムズ,+52,1700,2100,1000,25.0,outputs/fukai/4441_トビラシステムズ_DeepResearch_20260428.md,,打診20〜30%可（¥1300-1400）。SL¥1100。本玉条件：FY2026 Q2（8月頃）Solutions成長率+50%以上維持+代理店チャネル拡大発表確認後にBUY+70格上げ検討
2026-04-28,2760,東京エレクトロン デバイス,BUY,半導体商社（EC事業80%）×CN事業AI/DC好調×PB事業3次元実装検査装置2026年投入×4Q受注+41.6%急増,4500,3505,28.4,+72,outputs/fukai/2760_東京エレクトロンデバイス_DeepResearch_20260428.md,4Q受注¥797億（+41.6%QoQ）が27.3期1Q〜2Q売上急拡大の先行シグナル。Forward PER 10.2倍×配当3.81%のダブルアトラクション。PB事業でAI半導体3次元実装検査装置2026年内投入。VISION2030で売上¥3000〜3500億目標。SL¥2950,4500,3505,28.4,+72,4Q受注+41.6%×ForwardPER10.2倍割安×PB事業AI検査装置新規収益源,東京エレクトロン デバイス,+72,4500,5500,2800,28.4,outputs/fukai/2760_東京エレクトロンデバイス_DeepResearch_20260428.md,,打診30%可（¥3400-3550）。SL¥2950。本玉条件:27.3期1Q売上¥550億超+受注残増加確認（7月下旬決算後）
2026-04-28,9028,ゼロ,SELL,新車陸送専業（港頭輸送）×ホルムズ封鎖で中東向け輸出台数急減×Q3決算（5月中旬）下方修正リスク,-2700,3370,-19.9,-58,outputs/fukai/9028_ゼロ_DeepResearch_20260428.md,港頭輸送推定15〜25%×中東向け輸出▲50〜70%（トヨタ▲32%・スズキ▲59%・マツダ▲61%）×上半期OP既に▲10.4%×通期計画¥103億がホルムズ未織込み。Q3決算5月中旬が下方修正カタリスト。流動性薄く（日平均¥7000万）ポジション上限¥2000万。SL¥3800,2700,3370,-19.9,-58,港頭輸送減×ホルムズ封鎖×Q3下方修正カタリスト,ゼロ,-58,2700,2520,3800,-19.9,outputs/fukai/9028_ゼロ_DeepResearch_20260428.md,,エントリー¥3400〜3500戻り売り。SL¥3800。本玉条件:Q3決算OP¥98億以下の下方修正確認後サイズ拡大。日産主顧客構造で部分緩衝あり→ポジション5〜10%以内
2026-04-28,6834,精工技研,WATCH,光通信部品（光コネクタ研磨機世界シェア45%×AI/DC向けフェルール・消耗品）×1.6T移行直接受益×無借金,38000,28800,31.9,+72,outputs/fukai/6834_精工技研_DeepResearch_20260428.md,光コネクタ研磨機世界45%シェア独占×「カミソリと替刃」モデル×FY2026 Q3累計経常+2.8倍×OP修正¥70億(+148%)×25年ぶり最高益。FW PER47倍で歴史的妥当水準。5/14決算でFY2027初期ガイダンス確認後に本玉。SL¥24000,38000,28800,31.9,+72,研磨機世界45%独占×1.6T移行×FY2026最高益×無借金,精工技研,72,38000,52000,21000,31.9,outputs/fukai/6834_精工技研_DeepResearch_20260428.md,,打診20%可（¥27000-29000）。SL¥24000。本玉条件:5/14通期決算でFY2027 OP初期ガイダンス¥80億超+受注残増加+光製品4Q加速確認
2026-04-27,7735,SCREENホールディングス,BUY,半導体製造装置（洗浄装置世界No.1×3部門）×HBM/先端ロジック需要爆発×28/3期ジャンプ,14500,10805,34.2,+92,outputs/fukai/7735_SCREENホールディングス_BUY_DeepResearch_20260427.md,枚葉/バッチ/スピンスクラバー世界No.1×3冠。HBMがDDR5比3倍ウェハー消費→洗浄工程増×単価拡大。WFE CY2026 $140B（Lam確認）→CY2027さらに拡大でSPE売上28/3期ジャンプ。Forward PER 12.4倍はTELの3分の1。5/13通期決算でOP¥1170B確認+27期ガイダンス¥1100B超が本玉トリガー。SL¥8800,14500,10805,34.2,+92,洗浄3冠×HBM工程増×Forward PER 12.4倍割安×28/3期ジャンプ,SCREENホールディングス,92,14500,17500,9000,34.2,outputs/fukai/7735_SCREENホールディングス_BUY_DeepResearch_20260427.md,,打診50%可（¥10500-10900）。SL¥8800。本玉条件:5/13通期OP¥1170B確認+27期ガイダンス¥1100B超+HBM言及あれば即フルサイズ
2026-04-27,4519,中外製薬,WATCH,医薬品（バイオ医薬品・ロシュ子会社），ヘムライブラ輸出+26%×OPM49%過去最高水準,9200,7445,23.6,+55,outputs/fukai/4519_中外製薬_DeepResearch_20260427.md,Q1 Core OP+17.1%・進捗率24.4%は季節性範囲内だが通期ガイダンス据え置きで▲15.8%急落。期待値TP¥9,120（現在比+22.5%）。本玉はQ2（7月）上方修正確認後。SL¥6,800,9200,7445,23.6,+55,進捗24%は正常季節性×ガイダンス据え置き失望×Q2上方修正待ち,中外製薬,55,9200,10800,6400,23.6,outputs/fukai/4519_中外製薬_DeepResearch_20260427.md,outputs/fukai/4519_中外製薬_DeepResearch_20260427.docx,打診20-30%可（¥7300-7500）。SL¥6800。本玉条件:Q2決算Core OP進捗率50%以上+通期上方修正確認
2026-04-27,4203,住友ベークライト,BUY,半導体封止材（化学），EMC世界シェア40%×AI/HBM需要爆発,6800,5290,28.5,+72,outputs/fukai/4203_住友ベークライト_BUY_DeepResearch_20260427.md,東海東京N→OP格上げTP¥6520。EMC世界40%シェア×FY26OP¥340億(+37%)×京セラ買収300億で後工程完全制覇。ナフサ「要注意」だが主力EMCは間接依存・転嫁力高。本玉は5月通期決算+FY27ガイダンス確認後。SL¥4300,6800,5290,28.5,+72,EMC世界40%×AI/HBM爆発×京セラ買収後工程フルライン,住友ベークライト,72,6800,7500,4200,28.5,outputs/fukai/4203_住友ベークライト_BUY_DeepResearch_20260427.md,outputs/fukai/4203_住友ベークライト_BUY_DeepResearch_20260427.docx,打診30%可。SL¥4300。本玉条件:FY26通期OP¥320億以上+FY27ガイダンス¥350億以上+ナフサ調達「6月以降確保」言及
2026-04-27,3891,ニッポン高度紙工業,BUY,電子部品素材（コンデンサ用セパレータ）,7800,6150,26.8,+82,outputs/fukai/3891_ニッポン高度紙工業_BUY_DeepResearch_20260427.md,世界シェア60%独占×AIサーバー電源コンデンサ最上流×FY2026 OP+43.6%×FY2027+24.6%計画。東海東京萩原AN「25%増益」整合。本日+19.4%急騰後¥5500-5800押し目待ち。SL¥4500,7800,6150,26.8,+82,世界60%独占×AIサーバー需要×2期連続増益サイクル,ニッポン高度紙工業,82,7800,9500,4200,26.8,outputs/fukai/3891_ニッポン高度紙工業_BUY_DeepResearch_20260427.md,outputs/fukai/3891_ニッポン高度紙工業_BUY_DeepResearch_20260427.docx,打診50%可（押し目¥5500-5800）。SL¥4500。本玉条件:5月決算説明会でOP¥4400M以上確認後
2026-04-27,3941,レンゴー,WATCH,紙・段ボール・包装,1600,1269.5,26.0,+62,outputs/fukai/3941_レンゴー_WATCH_DeepResearch_20260427.md,下方修正(欧州減損189億・一過性)×資本政策(自社株400億+配当性向40%+資産売却600億)。ナフサ代替紙容器需要5月以降顕在化。PBR0.64倍歴史的割安。打診30%可・本玉は本決算FY2027ガイダンス確認後,1600,1269.5,26.0,+62,欧州減損一過性×自社株400億フロア×ナフサ代替需要,レンゴー,62,1600,2000,1050,26.0,outputs/fukai/3941_レンゴー_WATCH_DeepResearch_20260427.md,outputs/fukai/3941_レンゴー_WATCH_DeepResearch_20260427.docx,打診30%可。SL¥1050。本玉条件:本決算OP¥400億以上+欧州処理方針明示
